from;to;connection;weight
Simon Kaupert;Annie Hunecke;Filmkunstkollektiv (rechte Propaganda Firma);3
Simon Kaupert;Paul Klemm;Filmkunstkollektiv (rechte Propaganda Firma);3
Paul Klemm;Martin Sellner;Compact Redaktion;3
Paul Klemm;Jürgen Elsässer;Compact Redaktion;3
Paul Klemm;Annie Hunecke;Filmkunstkollektiv (rechte Propaganda Firma);3
Paul Klemm;Timm Kaufmann;Filmkunstkollektiv (rechte Propaganda Firma);3
Marvin T. Neumann;Ellen Kositza;Sommerfest auf der Terrasse;1
Marvin T. Neumann;Vincenzo Richter;Sommerfest auf der Terrasse;1
Marvin T. Neumann;Philip Stein;Sommerfest auf der Terrasse;1
Marvin T. Neumann;Mathilda Huss;Sommerfest auf der Terrasse;1
Marvin T. Neumann;Dominik Kaufner;Sommerfest auf der Terrasse;1
Marvin T. Neumann;Jean-Pascal Hohm;Sommerfest auf der Terrasse;1
Marvin T. Neumann;Matthias Helferich;Sommerfest auf der Terrasse;1
Marvin T. Neumann;Hannes Gnauck;AfD Bundestag;3
Annie Hunecke;Timm Kaufmann;Filmkunstkollektiv (rechte Propaganda Firma);3
Maximilian Krah;Richard Williamson;Anwalt in Gerichtsprozess;2
Maximilian Krah;Stephen K. Bannon;USA Besuch;1
Maximilian Krah;Ted Cruz;USA Besuch;1
Maximilian Krah;Kellyanne Conway;USA Besuch;1
Maximilian Krah;Matteo Salvini;Rom Besuch;1
Maximilian Krah;Raymond Burke;Institutum Christi Regis Summi Sacerdotis;1
Maximilian Krah;Ellen Kositza;Sommerfest auf der Terrasse;1
Maximilian Krah;Vincenzo Richter;Sommerfest auf der Terrasse;1
Maximilian Krah;Philip Stein;Sommerfest auf der Terrasse;1
Maximilian Krah;Dominik Kaufner;Sommerfest auf der Terrasse;1
Maximilian Krah;Jean-Pascal Hohm;Sommerfest auf der Terrasse;1
Maximilian Krah;Matthias Helferich;Sommerfest auf der Terrasse;1
Maximilian Krah;Marvin T. Neumann;Sommerfest auf der Terrasse;1
Maximilian Krah;Mary Khan-Hohloch;Sommerfest auf der Terrasse;1
Maximilian Krah;Torben Braga;Sommerfest auf der Terrasse;1
Maximilian Krah;Kristin Brinker;Sommerfest auf der Terrasse;1
Maximilian Krah;Benedikt Kaiser;Sommerfest auf der Terrasse;1
Kristin Brinker;Ellen Kositza;Sommerfest auf der Terrasse;1
Kristin Brinker;Vincenzo Richter;Sommerfest auf der Terrasse;1
